Timestamp,Universitas/Instansi,Program Studi,Semester,Berapa rentang IPK terakhir Anda?,Berapa rata-rata durasi tidur Anda pada hari kuliah?,Pada jam berapa biasanya Anda tidur di hari kuliah?  ,Seberapa sering Anda merasa tidur Anda cukup untuk mendukung aktivitas akademik?  ,Apakah Anda memiliki kebiasaan begadang karena tugas atau kegiatan lainnya?  ,Apakah Anda memiliki gangguan tidur seperti insomnia atau sleep apnea yang mungkin mempengaruhi kualitas tidur Anda?  ,Seberapa sering anda merasa mengantuk saat mengikuti kegiatan perkuliahan?,"Seberapa besar Anda merasa kualitas tidur mempengaruhi konsentrasi atau daya ingat saat belajar? (Skala 1-5, 1 = Tidak berpengaruh, 5 = Sangat berpengaruh)","Seberapa puas Anda dengan kualitas tidur Anda dalam sepekan terakhir? (Skala 1-5, 1 = Sangat tidak puas, 5 = Sangat puas)"
30/05/2025 15:05:52,POLINES,MANAGEMEN PEMASARAN ,3-4,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Jarang,5,4
30/05/2025 15:07:42,POLTEKKES ,KEPERAWATAN ,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,2
30/05/2025 15:09:13,UNNES ,MATEMATIKA ,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Ya,Sering,4,2
30/05/2025 15:15:49,UNNES,kesmas,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak yakin,Jarang,4,4
30/05/2025 18:44:26,universitas padjajaran ,ekonomi dan bisnis,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,4,4
30/05/2025 18:47:49,universitas padjajaran,ekonomi dan bisnis,5-6,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,5,5
31/05/2025 12:35:16,Uin Walisongo,Pendidikan Kimia,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak yakin,Jarang,4,4
31/05/2025 22:54:11,Unika,Teknik Informatika,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak yakin,Jarang,4,4
31/05/2025 22:54:49,UNNES,KESMAS,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Tidak yakin,Jarang,3,4
31/05/2025 22:57:56,UNNES,KESMAS,1-2,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Tidak pernah,4,5
31/05/2025 22:59:53,UNNES,KESMAS,3-4,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,1-2 kali per minggu,Ya,Kadang-kadang,4,3
31/05/2025 23:01:12,UNNES,KESMAS,1-2,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Tidak pernah,4,5
01/06/2025 14:26:40,Unnes ,manajemen,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Ya,Kadang-kadang,4,5
01/06/2025 14:28:54,UNWAHAS,Teknik Kimia,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Sering,4,4
01/06/2025 14:31:19,UMK,Sastra Inggris,1-2,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Sering,Hampir setiap hari,Tidak yakin,Sering,5,5
01/06/2025 14:35:42,ITB,Teknik Fisika,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Sering,4,5
02/06/2025 4:03:00,POLITEKKES SEMARANG,gizi,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Sering,5,5
02/06/2025 4:07:03,UIN SALATIGA,Menejemen Dakwah,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Tidak,Sering,5,4
02/06/2025 4:08:34,UIN Salatiga,peerbankan syariah,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Sering,5,5
02/06/2025 4:10:36,UNHAS,ilmu politik,7-8,"3,00 - 3,49",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Ya,Selalu,5,5
02/06/2025 21:42:52,Unwahas,Agribisnis ,3-4,"3,50 - 4,00",6 - 7 jam,Sebelum pukul 22:00,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Sering,5,2
02/06/2025 21:43:59,Undip,Agribisnis,1-2,"3,00 - 3,49",6 - 7 jam,Sebelum pukul 22:00,Sering,1-2 kali per minggu,Tidak,Selalu,3,4
02/06/2025 21:46:15,Uin,Bhs inggris ,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Kadang-kadang,4,3
02/06/2025 21:47:22,Unwahas,Hukum,5-6,"3,50 - 4,00",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak yakin,Selalu,5,1
02/06/2025 21:56:10,Universitas Wahid Hasyim Semarang,PGMI,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Selalu,1-2 kali per minggu,Tidak,Kadang-kadang,5,3
02/06/2025 22:55:12,Unwahas,Manajemen ,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,Hampir setiap hari,Ya,Sering,4,4
03/06/2025 7:21:42,wahid dasyim semarang,manajemen,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,4,3
03/06/2025 18:52:18,Universitas Wahid Hasyim,Manajemen,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Kadang-kadang,5,5
04/06/2025 14:34:42,UPGRIS,Manajemen,5-6,"3,00 - 3,49",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Tidak,Sering,4,4
04/06/2025 14:35:40,USM,Bahasa Inggris,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,4,5
04/06/2025 14:36:39,USM,Akuntansi,7-8,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,5
04/06/2025 14:39:22,UIN Sunan Kalijaga,Manajemen Dakwah,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Ya,Selalu,5,5
04/06/2025 14:40:43,Unwahas,PGMI,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,5
04/06/2025 14:41:33,UNWAHAS,HUKUM,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Selalu,5,5
04/06/2025 14:42:19,Unwahas,Teknik Mesin,5-6,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Selalu,Tidak pernah,Tidak,Tidak pernah,5,5
04/06/2025 14:43:07,Universitas Wahid Hasyim,Teknik Kimia,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,5,4
04/06/2025 14:44:59,Universitas Semarang,Psikolog,1-2,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,5
04/06/2025 14:46:31,Unwahas,PJKR,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,2
04/06/2025 14:47:52,USM,Ilmu hukum,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,2
04/06/2025 14:48:55,Universitas Semarang,Akuntansi,1-2,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Ya,Selalu,5,1
04/06/2025 14:50:14,UIN SUKA,Pendidikan fisika,3-4,"2,50 - 2,99",<4 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,5,2
04/06/2025 14:56:12,Uinsuka,Arsitektur,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,4,3
04/06/2025 15:26:04,UNY,Sosiologi,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Selalu,5,1
04/06/2025 15:26:53,UNY,PGSD,1-2,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,4
04/06/2025 15:27:37,Uny,Kimia,7-8,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,3
04/06/2025 15:29:01,UAD,ILKOM,3-4,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Tidak,Jarang,4,4
04/06/2025 15:30:54,Univ Ahmad Dahlan,Teknogi Pangan,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,3
04/06/2025 15:31:49,UAD,Farmasi,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Tidak,Sering,5,2
04/06/2025 15:33:08,UNY,Seni karya,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Tidak,Sering,5,2
04/06/2025 15:34:21,UNS,Peternakan,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,2
04/06/2025 15:35:10,UNS,Pendidikan Matematika,3-4,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,2
04/06/2025 15:36:21,UNY,Ekonomi pembangunan,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Jarang,5,4
04/06/2025 15:37:19,UAD,Ekonomi Pembangunan,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Ya,Sering,5,1
04/06/2025 15:38:32,Uinsuka,Perbankan Syariah,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Tidak,Sering,5,2
04/06/2025 15:39:37,UINSUKA,Psikologi,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,5
04/06/2025 21:41:39,Unwahas,Pjkr,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,5,2
04/06/2025 21:42:23,UNNES,ekonomi pembangunan,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Tidak,Jarang,4,5
04/06/2025 21:42:46,Unnes,Manajemen,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Sering,5,1
04/06/2025 21:43:10,Undip,Psikologi,≥ 8,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Tidak yakin,Sering,3,3
04/06/2025 21:43:34,Unwahas,Farmasi,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Sering,5,2
04/06/2025 21:44:22,Unnes,Teknik Mesin,3-4,"2,50 - 2,99",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,Hampir setiap hari,Ya,Sering,3,2
04/06/2025 21:44:37,Unnes,Pendidikan bahasa Inggris,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,4,2
04/06/2025 21:46:04,Undip,Teknik Informatika,5-6,"2,50 - 2,99",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,1-2 kali per minggu,Tidak yakin,Sering,3,2
04/06/2025 21:46:24,Unpad,Pai,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Selalu,5,2
04/06/2025 21:48:31,Unwahas,HI,7-8,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,3
04/06/2025 21:50:25,Unnes,Teknik Mesin,5-6,"2,50 - 2,99",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,3,3
04/06/2025 21:51:03,Uny,Akuntan,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,4
04/06/2025 21:52:05,Unisnu,Teknik informatika,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,5,3
04/06/2025 21:52:34,Unnes,Teknik Sipil,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,3,2
04/06/2025 21:53:37,Undip,Kimia,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,3,3
04/06/2025 21:53:55,Unisnu,Pendidikan Bahasa Inggris,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Sering,5,1
04/06/2025 21:54:18,Unnes,Tata Boga,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,4,4
04/06/2025 21:54:26,Unisnu,Manajemen,3-4,"2,50 - 2,99",4 - 5 jam,Dari pukul 00:00 - 01:59,Sering,3-4 kali per minggu,Tidak,Sering,4,2
04/06/2025 21:54:46,Unnes,Teknik Sipil,3-4,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,4
04/06/2025 21:55:13,Unnes,Teknik Sipil,3-4,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Jarang,4,4
04/06/2025 21:55:30,Unwahas,Hukum,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,4,2
04/06/2025 21:55:52,Undip,Psikologi,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
04/06/2025 21:55:59,Unwahas,Teknik kimia,5-6,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Selalu,5,1
04/06/2025 21:56:23,Unwahas,PAI,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,Tidak pernah,Tidak,Jarang,5,5
04/06/2025 21:56:38,Unwahas,Teknik informatika,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,4
04/06/2025 21:56:55,Unwahas,PAI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,3,3
04/06/2025 21:57:26,Unnes,Pjkr,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,5,2
04/06/2025 21:57:51,Unwahas,HI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
04/06/2025 21:58:39,Unnes,Farmasi,1-2,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Selalu,5,1
04/06/2025 21:58:46,Unwahas,HI,5-6,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Jarang,Tidak pernah,Tidak,Jarang,5,5
04/06/2025 21:59:10,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,3,3
04/06/2025 21:59:16,Unnes,Agribisnis,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Selalu,5,1
04/06/2025 22:00:19,Undip,Teknik informatika,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,5,2
04/06/2025 22:01:09,UNWAHAS,HI,7-8,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Tidak yakin,Sering,3,2
04/06/2025 22:01:26,Unwahas ,Agribisnis ,1-2,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Tidak,Sering,5,2
04/06/2025 22:02:00,UNWAHAS,pgmi,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
04/06/2025 22:02:56,Umk,PBI,≥ 8,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,4
04/06/2025 22:03:45,Iain kudus,PAI,5-6,"3,00 - 3,49",<4 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,4,2
04/06/2025 22:04:05,Unwahas,HI,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Sering,4,5
04/06/2025 22:04:21,Unisnu,Teknik Informatika,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Sering,5,2
04/06/2025 22:05:19,Unwahas,Pgmi,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,3-4 kali per minggu,Tidak,Kadang-kadang,5,3
04/06/2025 22:05:48,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Tidak,Sering,4,4
04/06/2025 22:07:06,Unwahas,Pai,7-8,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,3
04/06/2025 22:07:36,Unwahas,Teknik Kima,5-6,"2,50 - 2,99",<4 jam,Dari pukul 00:00 - 01:59,Jarang,Hampir setiap hari,Tidak,Sering,5,2
04/06/2025 22:08:15,Unwahas ,AGRIBISNIS,3-4,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,3
04/06/2025 22:08:43,Unnes,Pjkr,1-2,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Tidak,Selalu,5,1
04/06/2025 22:09:13,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,4
04/06/2025 22:09:23,Unnes,Manajemen,3-4,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Selalu,Tidak pernah,Tidak,Tidak pernah,5,1
04/06/2025 22:09:54,Unwahas,Akuntan ,3-4,"2,50 - 2,99",<4 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,5,2
04/06/2025 22:10:15,UNNES,PKO,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
04/06/2025 22:11:25,UNNES,PKO,7-8,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Tidak yakin,Sering,3,2
04/06/2025 23:25:35,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,3,3
04/06/2025 23:26:29,UNWAHAS,PGMI,7-8,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Jarang,5,5
04/06/2025 23:29:22,UNWAHAS ,HI,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Ya,Sering,3,2
04/06/2025 23:30:38,UNNES ,PKO,3-4,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,3
04/06/2025 23:31:05,UNNES,PKO,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,4
04/06/2025 23:31:46,UNWAHAS,PJKR,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
04/06/2025 23:32:17,UNNES,PKO,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,4
04/06/2025 23:33:22,UNNES,PKO,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Ya,Sering,3,2
04/06/2025 23:33:48,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,5
04/06/2025 23:34:41,UNWAHAS,HI,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,5,5
04/06/2025 23:36:04,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,3
04/06/2025 23:36:40,UNWAHAS,HI,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,3
04/06/2025 23:45:03,USM,TEKNIK SIPIL,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,3,3
04/06/2025 23:45:56,USM,HUKUM,≥ 8,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,4,5
04/06/2025 23:46:21,USM,HUKUM,7-8,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,4,5
04/06/2025 23:46:52,USM,ILMU KOMUNIKASI,7-8,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Sering,4,3
04/06/2025 23:47:26,UIN WS,pend kimia,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,5
04/06/2025 23:47:59,UIN WS,KIMIA,7-8,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,3
04/06/2025 23:48:27,UNIKA,HUKUM,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,4
04/06/2025 23:48:50,UNNES,PGSD,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,5
04/06/2025 23:50:10,UNNES,PJSD,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Ya,Sering,4,2
04/06/2025 23:50:41,UNNES,SOSIOLOGI,7-8,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Jarang,5,5
04/06/2025 23:51:11,UNNES ,STATISTIKA,5-6,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,5
04/06/2025 23:51:36,UNNES,MATEMATIKA,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
04/06/2025 23:52:00,UNNES,MATEMATIKA,7-8,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,3
04/06/2025 23:52:40,UNNES,HUKUM,5-6,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Ya,Sering,3,2
05/06/2025 0:20:33,UNDIP,HUKUM,7-8,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,3
05/06/2025 0:26:33,Undip ,Teknik informatika,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,5
05/06/2025 0:27:14,Unnes ,Pjkr,3-4,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Selalu,Tidak pernah,Tidak,Tidak pernah,5,4
05/06/2025 0:27:51,UNNES,PBI,3-4,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Jarang,5,5
05/06/2025 0:28:20,Unwahas,Pgmi,5-6,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Selalu,Tidak pernah,Tidak,Tidak pernah,5,5
05/06/2025 0:29:24,Uin ws,Tafsir hadist,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,4,4
05/06/2025 0:29:57,Uin ws,Biologi,5-6,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Selalu,Tidak pernah,Tidak,Tidak pernah,5,5
