Timestamp,Universitas/Instansi,Program Studi,Semester,Berapa rentang IPK terakhir Anda?,Berapa rata-rata durasi tidur Anda pada hari kuliah?,Pada jam berapa biasanya Anda tidur di hari kuliah?  ,Seberapa sering Anda merasa tidur Anda cukup untuk mendukung aktivitas akademik?  ,Apakah Anda memiliki kebiasaan begadang karena tugas atau kegiatan lainnya?  ,Apakah Anda memiliki gangguan tidur seperti insomnia atau sleep apnea yang mungkin mempengaruhi kualitas tidur Anda?  ,Seberapa sering anda merasa mengantuk saat mengikuti kegiatan perkuliahan?,"Seberapa besar Anda merasa kualitas tidur mempengaruhi konsentrasi atau daya ingat saat belajar? (Skala 1-5, 1 = Tidak berpengaruh, 5 = Sangat berpengaruh)","Seberapa puas Anda dengan kualitas tidur Anda dalam sepekan terakhir? (Skala 1-5, 1 = Sangat tidak puas, 5 = Sangat puas)"
22/03/2025 20:49:59,Unissula,Pendidikan bahasa inggris,≥ 8,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Ya,Selalu,5,5
29/03/2025 14:13:59,universitas Trunojoyo Madura ,agribisnis ,1-2,"3,50 - 4,00",<4 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Tidak yakin,Jarang,5,3
29/03/2025 16:54:45,Trunojoyo Madura,Manajemen,1-2,"2,50 - 2,99",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,5,5
14/04/2025 15:51:04,Universitas Wahid Hasyim,Teknik Informatika,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Ya,Sering,5,2
28/05/2025 15:49:57,Universitas Wahid Hasyim,Teknik Informatika,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Sering,Hampir setiap hari,Tidak yakin,Kadang-kadang,5,2
28/05/2025 15:51:56,Universitas Wahid Hasyim,Hukum,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Sering,4,2
28/05/2025 15:52:40,Universitas Wahid Hasyim,PGMI,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Tidak,Jarang,4,4
28/05/2025 15:56:58,Universitas Islam Negri Walisongo,Pendidikan Bahasa Inggris,7-8,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Ya,Kadang-kadang,5,3
28/05/2025 21:56:13,Universitas Wahid Hasyim,Hukum,3-4,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,5,2
28/05/2025 21:58:26,Universitas Sultan Agung,Kedokteran,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Sering,5,3
28/05/2025 21:59:39,Universitas Negri Semarang,Manajemen,3-4,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,3-4 kali per minggu,Ya,Sering,4,4
28/05/2025 22:01:31,Universitas Sebelas Maret,Pertaninan,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Sering,5,3
28/05/2025 22:05:55,UPGRIS,Teknik Elektro,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Tidak yakin,Sering,3,3
28/05/2025 22:09:26,UPGRIS,Bimbingan dan Konseling,1-2,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Tidak,Jarang,5,4
28/05/2025 22:11:09,Universitas PGRI Semarang,Teknik Elektro,5-6,"3,50 - 4,00",4 - 5 jam,Setelah pukul 02:00,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,3,3
28/05/2025 22:31:14,UNWAHAS,Hubungan International,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,3-4 kali per minggu,Tidak,Kadang-kadang,5,4
28/05/2025 22:33:21,Universitas Wahid Hasyim,Teknik Kimia,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,4,4
28/05/2025 22:34:16,Unwahas,Teknik Kimia,3-4,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,3-4 kali per minggu,Tidak,Kadang-kadang,4,3
28/05/2025 22:42:57,Universitas Whid Hasyim,Farmasi,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,5,4
28/05/2025 22:47:05,IAIN Kudus,PGMI,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Sering,3-4 kali per minggu,Tidak,Kadang-kadang,3,4
28/05/2025 22:50:14,Universitas Muria Kudus,Akuntansi,7-8,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,3,4
29/05/2025 11:59:07,Unnes,PJKR,1-2,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Sering,3-4 kali per minggu,Tidak yakin,Selalu,2,5
29/05/2025 12:01:30,Unnes,PJKR,3-4,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Jarang,4,4
29/05/2025 12:12:23,Universitas Diponrgoro,Hukum,7-8,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,1-2 kali per minggu,Tidak,Sering,3,3
29/05/2025 12:13:46,UGM,Manajemen,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Jarang,4,4
29/05/2025 12:17:46,UGM,Manajemen,7-8,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Jarang,4,4
29/05/2025 12:39:43,UNY,Teknik Mesin,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Jarang,5,4
29/05/2025 12:43:46,UII,Hukum,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Tidak pernah,Tidak pernah,Tidak yakin,Sering,4,4
29/05/2025 12:45:22,UNY,Teknik Mesin,7-8,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Sering,1-2 kali per minggu,Ya,Jarang,3,4
29/05/2025 12:49:40,Unnes,PJSD,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Ya,Sering,5,3
29/05/2025 12:51:10,Undip,Psikologi,5-6,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Ya,Kadang-kadang,5,3
29/05/2025 12:52:04,Unnes,PKO,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,3-4 kali per minggu,Tidak yakin,Jarang,5,4
29/05/2025 13:13:07,Universitas Muria Kudus,Manajemen,1-2,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Tidak pernah,Tidak pernah,Tidak,Jarang,3,3
29/05/2025 13:17:09,USM,ilmu komunikasi,7-8,"3,00 - 3,49",6 - 7 jam,Setelah pukul 02:00,Sering,Hampir setiap hari,Tidak,Sering,2,4
29/05/2025 13:17:57,UNTAG,Manajemen,3-4,"2,50 - 2,99",<4 jam,Setelah pukul 02:00,Sering,Hampir setiap hari,Tidak yakin,Sering,4,2
29/05/2025 13:20:27,Universitas Nahdlatul Ulama,Pendidikan Agama Islam,3-4,"3,00 - 3,49",4 - 5 jam,Pukul 22.00 - 23.59,Jarang,Hampir setiap hari,Ya,Jarang,4,2
29/05/2025 13:23:34,Universitas Wahid Hasyim,PGMI,1-2,"3,00 - 3,49",<4 jam,Setelah pukul 02:00,Tidak pernah,Hampir setiap hari,Ya,Selalu,5,1
29/05/2025 13:29:20,UNIMUS,Informatika,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,2,3
29/05/2025 13:32:35,POLITEKKES Semarang,Gizi,1-2,"3,00 - 3,49",≥ 8 jam,Pukul 22.00 - 23.59,Selalu,Tidak pernah,Tidak,Kadang-kadang,5,5
29/05/2025 13:40:00,Universitas Dian Nuswantoro,Kesehatan Masyarakat,3-4,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Sering,3-4 kali per minggu,Tidak,Kadang-kadang,4,3
